Temperature,Humidity,BuildingArea,Occupants,ApplianceCount,IsWeekend,AC_Usage_Hours,ElectricityConsumption
17.01,62.0,2349.74,9,4,0,0.0,15.83
41.65,40.42,2626.4,4,8,0,8.49,32.17
35.85,68.65,1333.77,9,19,1,5.16,28.47
20.37,80.21,4352.52,6,11,0,0.0,22.95
15.15,74.59,4128.76,1,8,1,0.0,20.4
37.02,22.77,3360.79,3,9,0,7.77,32.56
34.09,53.64,2586.89,2,7,1,4.64,24.82
34.68,27.35,3966.87,9,2,0,6.44,32.19
35.82,36.94,935.67,1,5,1,3.18,15.69
17.0,89.07,3641.09,9,15,0,0.0,24.56
24.68,29.97,911.77,9,18,0,0.31,17.32
18.13,54.92,3656.26,8,19,0,0.87,27.76
38.3,63.27,1530.65,8,12,0,6.16,26.96
31.83,69.17,3996.07,1,15,0,5.32,31.34
23.93,59.18,4270.57,8,10,0,3.49,30.32
16.72,20.68,1010.06,3,16,0,0.29,13.81
23.4,42.85,2296.97,7,13,1,1.68,22.33
23.78,56.24,4422.05,1,11,0,0.0,21.39
34.7,26.15,2381.97,1,7,0,4.89,22.51
32.21,44.54,3940.54,5,7,1,3.01,27.2
38.95,22.32,2813.8,5,9,0,5.63,27.83
27.75,25.5,1938.85,8,2,0,1.83,16.1
18.23,47.78,1571.71,7,18,0,0.0,17.5
34.26,29.29,1233.21,8,18,1,0.84,21.55
35.54,59.73,3523.37,6,16,1,3.84,32.17
30.15,68.26,1984.82,6,8,1,3.77,22.43
35.82,76.04,2496.23,2,4,0,2.58,19.28
28.33,34.01,2418.53,6,12,1,2.81,23.48
29.11,31.72,2766.84,5,10,0,6.84,29.28
26.54,27.32,3948.87,3,11,0,4.23,27.72
15.69,64.55,4421.03,6,3,0,1.85,23.73
17.91,69.45,2071.1,8,2,0,0.09,13.73
15.85,22.21,3792.83,9,17,0,0.95,27.64
32.18,85.53,3534.56,1,19,0,2.61,27.07
23.49,23.64,2751.47,3,18,0,0.0,20.26
28.73,57.89,4319.79,3,7,0,0.0,20.99
39.5,69.63,1221.95,8,15,1,8.87,32.65
21.73,80.97,847.98,1,16,0,3.66,17.49
26.08,69.99,3901.24,5,15,1,0.92,25.87
35.4,76.12,2200.51,3,4,0,4.63,21.27
21.18,43.76,3872.57,2,13,1,0.0,22.26
17.08,77.04,4061.67,8,3,0,0.0,20.5
22.82,25.61,656.08,3,4,0,3.19,11.99
19.35,82.64,4022.21,7,19,0,0.0,27.07
40.1,58.33,2238.11,1,2,0,7.52,25.68
36.82,77.21,2492.77,6,7,1,5.05,27.48
32.1,51.66,2969.03,3,6,0,4.26,23.5
38.53,65.05,4198.17,8,2,0,7.09,34.63
36.7,56.85,478.38,6,2,1,5.19,17.94
20.04,71.21,2355.06,2,17,0,0.0,17.29
39.1,25.71,3219.66,6,13,0,5.94,31.72
29.56,24.22,3363.1,7,9,0,5.13,29.58
36.8,37.3,3239.38,5,17,0,6.44,33.77
39.19,31.17,951.18,3,2,0,6.84,20.52
23.59,81.02,1627.52,4,5,0,0.0,11.06
17.97,35.34,1870.73,4,11,1,0.0,15.71
21.15,88.31,3698.19,6,12,0,2.18,25.25
26.53,43.58,1542.92,1,18,0,2.25,18.01
37.09,32.75,1263.89,4,8,0,7.01,24.53
38.24,75.28,4325.54,4,13,1,9.61,40.91
15.19,66.11,436.34,1,8,1,0.47,8.33
28.79,54.87,4491.07,9,13,0,3.12,31.26
26.27,58.88,3174.97,4,16,1,1.07,23.07
21.0,70.34,3796.72,7,3,0,0.0,19.43
18.24,35.99,1607.94,3,15,0,0.0,14.07
24.12,89.74,458.69,3,14,0,0.72,11.12
40.46,88.24,3425.27,8,5,0,7.6,33.91
23.73,65.52,3819.99,8,15,0,0.93,25.92
29.01,33.97,3435.95,1,15,1,2.36,25.89
33.98,67.62,985.69,2,17,0,1.1,17.27
24.82,25.05,3489.05,8,8,1,0.0,21.28
41.24,22.15,3552.58,1,3,0,8.03,31.06
40.99,38.04,3100.02,8,11,0,10.43,39.87
21.8,52.38,3541.08,8,19,0,0.4,25.77
28.43,80.78,3868.28,2,18,0,3.46,28.38
23.12,70.9,2915.78,4,6,0,2.95,20.53
22.69,71.99,763.28,6,13,0,0.0,12.68
16.0,49.78,2399.27,9,7,0,0.0,17.12
31.46,44.22,718.36,8,10,0,2.34,17.37
28.57,45.97,2070.93,8,2,1,4.59,21.8
16.39,89.14,2069.14,7,16,0,0.0,18.34
22.52,22.81,670.64,9,7,0,1.44,13.74
39.52,80.69,1830.16,2,19,0,4.94,27.17
21.47,60.51,855.09,3,7,1,1.9,12.33
18.91,50.7,3713.76,8,14,1,3.81,30.86
28.22,70.77,4285.52,6,2,0,0.72,21.1
41.61,54.07,696.5,9,14,0,6.52,27.3
21.54,81.14,4315.97,4,8,0,0.98,22.95
33.15,83.05,2542.56,8,16,1,5.96,31.98
35.56,49.52,1628.22,3,13,0,4.07,22.12
21.42,39.38,715.13,3,2,0,0.0,7.43
34.66,61.46,2452.56,8,16,0,7.61,33.58
24.93,83.87,3657.51,5,5,0,3.16,24.41
32.07,34.75,3299.05,3,14,1,0.54,23.29
32.11,63.61,605.93,1,6,0,2.82,12.61
29.47,64.21,698.9,3,3,0,6.29,17.55
17.44,71.32,2051.78,9,2,0,2.04,18.21
37.55,29.21,1610.69,5,17,1,7.73,31.17
23.66,70.11,1352.78,2,7,1,0.87,11.96
20.04,83.63,1552.12,7,17,0,0.18,17.44
16.1,32.58,3694.28,2,15,0,0.0,21.33
30.95,36.63,4209.84,4,4,1,5.91,29.8
33.29,88.0,2060.92,7,16,0,2.68,24.46
15.45,32.67,4115.06,4,4,0,0.0,19.99
28.83,79.81,1718.13,7,3,0,4.96,20.7
21.12,54.46,2353.39,7,2,1,0.28,15.25
32.42,37.31,1326.72,1,10,0,6.9,22.5
19.71,80.95,3025.95,6,10,1,0.0,20.25
33.66,51.17,4413.82,9,8,0,4.44,32.48
25.44,56.04,2874.32,2,4,0,0.0,15.01
40.29,45.15,1867.04,3,19,0,6.78,31.32
18.71,61.51,3056.05,5,12,0,0.0,19.59
24.21,31.45,903.97,9,8,0,0.43,13.35
18.06,47.38,4043.5,4,10,0,0.0,21.89
39.97,87.86,2462.64,1,2,0,8.04,27.01
38.69,38.07,2242.33,4,15,1,7.66,32.18
21.96,65.97,2802.05,6,7,1,0.0,17.73
32.82,42.76,2961.61,5,8,0,6.94,29.02
37.06,74.14,694.28,1,11,0,10.68,27.82
29.99,29.16,3198.73,4,8,0,3.42,24.26
29.3,87.89,1391.92,6,3,0,1.82,13.89
21.53,51.77,3327.21,4,5,1,6.16,26.95
17.51,36.52,3772.39,9,18,0,0.0,25.74
39.22,25.14,3696.23,5,2,0,6.45,29.78
39.31,31.88,2665.25,8,11,1,6.8,33.36
32.09,56.38,2532.7,9,16,0,6.72,32.55
24.15,43.59,985.79,5,11,0,2.1,15.22
24.43,78.02,3578.92,6,13,0,0.48,22.2
34.6,50.16,1512.78,1,17,0,2.96,20.78
39.22,37.41,2436.45,7,10,0,5.72,29.03
38.95,63.2,1565.52,4,16,1,4.3,25.37
36.06,69.47,948.7,2,18,1,5.45,24.47
32.33,31.69,2981.19,5,15,0,2.98,26.45
17.27,31.73,622.76,3,19,1,0.0,13.65
19.36,22.57,3469.45,6,3,0,2.3,20.62
39.26,71.55,1702.11,8,5,1,5.42,26.19
31.37,66.47,400.55,7,19,0,1.25,17.34
15.25,53.22,2495.63,3,8,1,0.0,15.78
17.74,79.09,592.09,8,14,1,0.0,14.78
32.91,76.4,1532.3,2,16,0,0.81,18.72
15.14,60.97,3298.6,9,2,1,0.0,18.6
19.34,80.78,657.03,4,12,1,0.0,11.97
29.82,34.41,3841.29,1,11,1,6.69,31.23
33.68,27.83,415.66,8,6,0,5.61,19.72
32.6,38.88,1411.98,7,17,1,3.4,24.14
21.06,24.0,3437.71,5,12,1,0.0,21.11
34.23,57.18,1696.71,5,7,0,4.53,21.58
21.41,85.56,817.76,7,10,1,1.69,14.98
23.79,22.75,1876.96,5,14,0,1.21,18.55
35.16,28.55,1508.61,8,9,0,4.62,23.61
32.54,51.65,3855.12,6,15,0,4.3,31.97
37.93,85.37,1684.73,5,2,0,4.77,20.47
32.76,42.13,3634.62,9,18,0,3.57,32.57
30.34,55.51,4056.68,2,6,0,0.0,20.11
17.53,22.91,2178.65,1,3,1,1.12,12.98
24.93,30.38,4130.77,8,10,0,2.24,26.99
22.16,89.06,1947.0,3,5,0,0.0,11.65
21.59,87.56,4352.72,7,18,0,4.33,33.34
41.27,20.35,766.09,8,18,0,7.26,29.06
25.61,86.63,3216.78,6,19,1,0.0,24.78
39.09,64.74,2424.64,9,17,0,8.08,36.04
32.04,80.75,1989.36,7,9,1,4.81,25.62
36.46,51.83,2994.12,5,12,0,6.28,31.41
28.57,56.09,3285.81,8,19,0,2.01,27.76
30.58,54.22,417.89,2,11,0,4.43,16.11
28.3,66.68,1084.51,7,14,0,2.24,19.76
20.27,29.78,3323.49,4,18,0,1.2,24.78
34.51,22.1,3132.18,9,19,0,1.03,27.97
22.58,41.56,4360.79,1,11,0,0.0,21.54
15.66,69.33,3520.25,7,17,1,2.0,27.58
32.43,34.13,4298.17,6,6,0,2.61,27.3
19.78,67.14,3280.42,8,14,0,0.0,22.25
40.39,87.89,1622.01,5,19,0,5.9,28.62
40.76,26.57,832.0,1,18,0,4.49,21.83
39.7,67.08,3605.48,1,10,1,2.15,25.49
24.99,51.06,3041.01,9,15,0,1.2,23.99
15.42,80.77,597.56,6,18,0,0.0,14.16
40.06,32.4,1876.21,5,5,1,6.58,26.01
26.56,68.48,4322.88,1,19,0,1.9,27.35
41.1,78.67,2451.64,6,16,0,7.12,33.81
41.02,86.12,2174.19,6,12,0,9.05,33.93
38.03,67.83,2276.57,3,13,0,5.63,27.34
22.95,54.8,1256.42,8,10,1,0.0,15.34
25.4,63.25,1911.7,1,14,1,1.24,17.4
37.98,80.82,1916.23,1,16,1,7.15,29.99
23.56,59.94,614.66,6,16,0,4.01,19.28
19.58,22.13,3547.03,1,6,0,0.0,16.55
30.03,85.17,2107.67,6,15,1,3.54,24.63
40.28,68.27,3770.94,1,18,0,7.44,36.31
33.79,67.36,3886.43,6,19,0,2.61,31.62
30.39,35.1,1269.18,3,4,0,3.5,16.19
17.62,66.12,3095.15,8,3,0,0.0,17.9
31.61,47.57,2336.36,6,2,0,0.33,14.69
41.73,65.59,4008.64,1,11,1,7.98,36.81
18.78,27.46,1284.54,5,18,1,0.0,16.05
28.99,66.05,3179.03,8,13,0,3.4,28.06
38.69,89.96,2891.78,3,2,0,6.19,25.82
35.0,23.37,1610.74,6,13,0,3.05,22.42
33.82,88.4,960.06,5,18,1,4.52,23.71
33.97,48.48,3071.72,6,4,0,2.19,22.39
24.71,80.95,3428.25,1,12,1,4.35,25.47
22.93,74.77,1694.07,7,18,0,0.0,18.08
36.85,59.69,3043.81,9,4,0,5.23,28.06
36.87,71.69,2020.04,2,9,0,3.54,20.32
38.41,81.5,3324.15,5,5,1,7.28,32.02
39.66,48.29,1216.78,4,8,0,5.89,23.74
28.81,42.89,4049.88,6,15,0,1.9,29.17
28.54,66.73,1578.38,6,15,0,4.55,23.84
36.55,76.55,1907.92,2,5,1,5.58,23.28
32.55,73.36,638.18,2,17,1,5.22,22.15
33.95,75.85,857.2,4,2,0,2.69,13.68
36.49,50.49,2515.03,1,18,1,2.69,25.07
39.03,77.25,1497.13,9,11,0,6.56,28.61
24.13,28.41,3825.47,7,17,0,0.74,26.37
25.14,58.11,460.24,7,17,0,2.97,18.08
17.54,20.4,1954.29,3,9,0,0.0,13.58
30.61,42.72,1783.12,3,8,0,3.95,19.67
15.97,45.65,479.24,1,7,1,0.0,8.03
27.57,47.73,909.91,3,17,0,6.3,22.87
29.65,68.68,2095.93,3,17,0,2.89,22.53
22.74,47.2,2420.74,4,8,1,2.31,20.3
30.95,51.41,2057.59,4,10,1,1.98,20.28
15.82,36.63,2576.84,3,15,0,0.0,18.63
16.01,46.13,2840.04,8,12,1,0.0,21.08
37.21,35.91,440.69,8,15,0,6.64,26.0
24.73,25.12,2302.79,1,8,0,0.86,15.07
18.43,62.24,4350.35,7,2,1,0.0,22.23
29.1,66.77,2528.03,2,14,0,4.43,23.71
35.79,63.36,3177.92,1,4,0,2.8,20.52
20.83,52.44,1678.64,3,5,0,0.0,11.62
31.82,46.59,3573.36,4,12,1,4.85,30.05
17.3,80.43,3568.98,6,3,1,3.3,23.57
16.4,56.34,2537.31,5,15,0,0.0,18.46
29.35,53.54,4401.66,4,13,0,4.3,30.97
29.6,21.79,914.76,8,18,0,2.99,21.09
32.21,43.89,469.49,4,13,0,7.95,24.98
34.6,46.61,3557.65,2,13,0,1.37,24.03
41.35,47.92,3709.34,3,2,1,7.31,31.67
28.94,60.61,892.85,6,14,0,0.0,14.6
23.72,57.35,1488.89,8,15,0,0.0,17.35
36.47,62.55,471.96,8,3,0,6.08,20.57
22.31,73.54,1602.57,9,13,0,1.05,19.05
26.85,76.91,3569.88,7,17,1,1.71,27.69
17.12,70.27,2523.64,2,5,0,0.0,13.29
15.68,86.89,1827.19,8,9,0,4.76,23.14
40.99,21.28,1924.13,7,3,0,6.48,25.82
37.57,33.7,405.55,8,11,0,6.88,24.58
33.79,20.53,1629.18,3,10,0,3.3,19.8
26.04,65.32,3050.48,7,16,0,2.6,26.5
19.68,82.86,4394.2,9,14,0,0.0,26.04
19.22,37.04,3872.95,3,18,0,0.0,23.9
21.76,84.89,496.74,6,17,0,4.22,19.7
29.83,24.22,4084.1,2,3,0,5.63,27.51
34.29,85.41,3611.11,2,15,1,5.04,31.56
32.83,44.61,3599.54,5,4,0,0.0,20.31
22.56,27.1,2277.78,5,13,0,0.13,18.03
40.78,54.01,2031.82,7,9,0,12.33,38.07
34.92,37.97,1641.95,2,3,0,4.51,19.0
29.97,39.94,669.35,7,5,1,5.53,19.93
31.52,41.51,1335.76,5,15,0,6.72,26.35
26.33,76.21,1411.07,6,17,0,2.55,20.94
21.69,57.74,2384.72,8,3,0,0.0,15.44
24.61,41.79,3464.52,4,13,0,0.0,20.62
35.46,62.72,2342.62,7,15,1,6.52,32.15
15.39,70.13,637.16,6,7,0,0.0,9.91
18.13,39.08,4326.94,2,14,0,0.0,22.68
16.24,48.95,4265.17,8,5,0,0.0,22.73
16.1,28.53,3619.28,9,19,1,0.0,26.99
38.1,32.68,4464.44,5,13,0,6.1,37.17
34.0,67.68,2632.38,4,9,1,5.2,26.13
27.8,32.7,4347.35,6,8,0,0.37,23.59
17.64,56.76,709.98,8,17,1,1.61,18.39
28.27,69.63,1899.29,3,7,0,1.56,16.09
27.78,27.48,1324.06,1,12,1,0.0,13.23
19.68,59.71,1202.92,4,6,0,0.0,10.53
26.71,37.96,977.29,4,17,1,2.31,18.21
25.76,87.4,2951.9,1,8,0,2.24,18.59
31.63,53.85,3603.42,9,6,0,6.6,32.27
32.15,76.42,2771.02,3,12,0,3.58,23.79
16.22,58.52,1002.55,5,16,0,0.0,14.03
25.11,23.04,3725.61,6,4,0,0.0,19.24
31.9,64.32,3007.41,8,6,1,5.61,28.62
28.58,86.6,1991.48,6,6,1,3.23,21.04
38.13,62.11,3163.93,3,10,0,5.2,28.96
32.78,77.34,1465.61,6,16,1,0.45,18.69
19.4,81.89,1815.29,1,4,0,2.69,13.81
16.91,35.97,4161.69,4,7,0,0.0,19.76
32.35,34.84,1591.07,6,18,0,2.93,23.06
15.72,62.77,2326.95,7,9,0,0.0,17.16
30.82,48.77,4049.58,3,12,1,1.21,25.41
40.39,78.79,3301.66,9,7,0,3.81,29.28
30.54,83.0,655.03,7,9,0,0.0,11.78
25.48,44.74,1003.94,1,11,0,3.27,15.57
32.37,36.58,432.15,2,4,0,3.03,11.84
27.37,74.64,2986.78,1,15,0,8.31,31.4
29.73,39.24,2235.46,9,15,1,1.26,23.54
40.42,77.58,950.53,9,11,1,4.96,24.89
25.42,49.66,4327.53,7,13,1,0.68,26.57
40.95,66.73,2571.6,3,7,0,7.47,29.66
39.44,26.69,1391.76,5,13,0,5.54,25.7
20.29,63.67,2452.47,4,15,0,1.32,20.58
16.87,51.62,3186.44,7,3,0,0.0,17.45
17.72,61.06,712.58,9,10,0,0.0,12.93
15.49,31.76,1526.29,2,11,1,0.0,12.6
17.55,71.58,3708.56,8,18,0,0.0,25.45
33.44,80.4,2284.63,9,18,0,3.44,28.16
16.92,35.17,2640.97,9,4,0,0.0,17.68
23.61,26.7,2174.55,7,2,0,0.0,13.82
37.81,21.65,579.99,9,13,0,8.42,29.45
15.63,64.94,1079.57,9,8,1,1.0,15.84
36.99,62.5,2226.72,3,5,0,4.99,22.53
22.61,58.27,1257.66,4,11,1,0.0,13.44
18.19,36.24,604.91,2,14,0,0.0,10.71
33.81,47.36,3858.96,3,3,0,3.4,24.06
31.98,61.61,4422.89,5,11,0,2.68,28.9
38.69,54.77,3651.89,5,5,1,4.84,29.38
34.85,89.14,3900.52,6,19,1,3.64,34.48
36.69,29.55,1392.11,7,6,0,4.79,21.23
22.61,68.66,4338.57,7,3,0,0.0,21.64
19.79,48.3,1207.4,1,13,0,0.35,11.87
35.27,49.97,4300.86,2,18,0,5.81,34.76
36.78,70.23,4478.76,9,11,1,3.77,35.12
41.74,68.47,3318.06,2,3,0,9.79,33.59
26.14,89.39,4422.69,6,7,0,0.09,23.4
25.04,28.99,2735.11,1,9,0,0.0,15.55
35.96,27.29,1464.12,3,12,0,6.08,25.32
24.2,70.7,2191.68,2,13,0,0.0,15.73
40.13,60.49,2833.6,3,10,0,7.35,30.94
38.18,39.19,699.63,5,3,1,1.25,13.48
26.58,25.56,2951.61,6,9,1,4.98,27.52
35.27,26.0,4422.83,9,12,0,6.44,37.44
35.37,82.59,1179.44,4,5,1,2.12,15.73
17.78,33.43,3649.64,7,11,0,0.0,21.94
39.37,42.64,4122.39,6,17,0,9.8,42.27
28.64,35.87,4269.18,2,9,0,1.41,23.72
37.31,44.85,4336.56,8,5,0,4.1,30.32
23.64,24.86,2537.98,7,11,0,0.0,18.38
39.18,56.33,4406.96,7,13,0,5.69,37.11
25.51,24.73,3504.97,8,15,0,1.38,25.67
15.29,76.02,1062.85,1,17,1,0.0,14.31
39.45,36.36,2355.29,1,19,0,3.68,25.78
17.46,57.8,3345.16,8,13,0,0.0,22.83
23.62,81.61,1414.1,4,19,0,2.11,19.75
40.65,65.56,3026.52,5,8,0,8.9,33.58
40.67,57.31,3133.06,8,8,0,3.75,29.48
30.48,42.7,1067.07,5,10,1,5.66,22.41
32.06,43.31,2716.85,4,2,0,4.09,21.06
27.11,66.86,3563.67,6,7,0,4.55,26.37
22.92,89.59,2445.47,5,7,0,0.83,16.61
23.87,66.33,449.62,7,13,0,0.0,12.15
33.16,59.04,437.06,7,13,0,4.08,19.95
35.31,71.15,1863.82,4,11,0,7.22,27.39
36.37,52.56,4197.4,5,7,0,3.67,29.32
36.32,24.21,1337.57,3,18,0,4.66,24.26
17.46,59.36,3000.89,4,19,0,0.0,20.83
28.35,87.03,1310.51,4,7,1,0.0,12.58
16.55,32.27,1718.85,3,11,0,2.19,15.97
29.84,68.3,3876.97,5,9,1,1.48,25.15
26.92,34.07,3388.33,5,7,1,3.32,24.36
38.97,57.51,791.14,7,8,0,6.15,23.42
24.47,26.77,2157.68,4,2,0,4.01,18.53
18.16,51.53,519.6,4,19,0,0.2,13.25
18.86,72.93,2371.65,9,13,0,0.0,20.03
35.56,44.33,3115.98,6,17,0,3.4,29.23
31.69,66.54,885.86,4,11,1,5.49,22.43
17.73,75.68,1584.43,2,11,1,0.0,13.34
17.27,84.9,2031.13,6,15,0,0.38,18.01
33.93,36.42,4170.08,2,11,0,2.44,27.03
16.96,47.95,4472.35,5,11,0,1.49,25.87
37.19,30.67,584.14,6,12,1,6.05,23.73
34.07,89.47,3520.13,4,3,0,5.98,27.52
17.2,84.89,1924.07,3,9,0,0.0,13.5
17.29,57.8,2009.08,7,8,0,0.0,15.93
41.64,78.94,3492.49,2,9,0,5.49,29.03
25.11,56.47,4165.55,6,2,1,3.05,25.09
25.01,63.65,4298.81,4,3,0,2.0,22.78
36.95,26.24,2766.2,6,19,0,8.01,36.3
40.58,72.87,1864.2,4,16,1,7.67,32.55
41.62,28.94,3628.95,4,2,0,5.27,28.1
35.34,77.82,1429.11,4,6,0,3.52,18.44
25.16,74.74,2712.7,9,3,0,1.93,19.9
17.25,69.61,1870.17,7,4,0,0.0,13.37
35.98,22.53,3092.19,3,19,0,8.67,36.46
30.08,41.22,1385.64,3,19,0,4.24,23.3
26.45,38.42,1185.53,6,15,0,4.61,21.89
39.47,45.21,4164.78,6,9,0,3.33,30.13
18.0,26.13,817.4,4,13,1,1.82,15.25
28.3,85.59,2474.43,9,11,1,7.23,31.99
15.31,58.77,1305.5,4,18,0,0.0,14.26
27.65,41.39,559.61,9,12,0,4.09,20.0
16.52,47.79,547.68,4,3,0,0.0,7.04
18.21,51.3,1118.41,2,5,0,0.0,8.06
18.17,62.04,3953.76,2,2,1,0.38,18.47
32.53,56.1,1558.16,5,16,0,5.84,26.56
35.14,84.36,4296.88,4,14,0,3.85,31.96
30.75,54.79,2784.65,7,9,0,5.92,27.34
40.98,89.45,2190.12,5,5,0,3.66,23.03
25.12,79.6,2778.36,6,11,0,0.0,18.39
22.71,34.6,2518.46,4,19,0,1.18,22.04
38.45,85.14,3510.98,2,6,1,6.2,30.19
21.04,28.15,1558.23,9,17,1,0.0,18.94
41.01,77.22,1847.51,7,2,0,8.62,28.86
15.33,46.64,4065.79,4,13,0,0.0,22.6
41.19,81.46,4280.47,3,3,1,8.78,35.34
16.17,80.76,4059.49,3,9,0,0.0,21.1
39.06,76.41,2119.74,9,19,0,7.56,35.01
29.25,75.3,3599.5,5,17,0,2.19,27.09
41.81,41.33,2352.98,3,6,1,11.38,34.81
16.99,25.66,2439.91,5,14,0,0.0,18.34
29.95,48.21,1239.19,2,4,0,7.53,20.99
41.17,32.15,2823.63,4,9,1,7.13,31.96
29.12,68.65,1163.16,2,13,1,0.29,13.6
31.99,44.23,1759.42,2,3,1,6.73,22.07
33.79,88.29,3905.62,8,12,0,4.85,32.8
27.27,64.87,1249.01,1,13,0,4.13,19.27
31.94,77.57,691.75,7,19,1,6.43,27.19
30.78,29.28,682.93,5,14,1,4.27,21.17
39.33,80.34,4257.22,8,6,0,5.26,33.36
16.23,84.59,2478.37,1,13,0,0.69,16.81
22.59,54.09,2078.59,7,3,1,0.86,15.63
40.66,62.44,3724.6,5,6,1,8.26,35.57
39.04,73.54,3826.89,4,8,0,2.04,26.06
27.3,32.24,1761.98,7,13,0,3.33,22.58
31.74,55.18,3243.83,2,17,0,2.64,26.06
22.49,47.91,3561.6,1,9,0,4.14,24.65
20.08,30.25,3084.07,1,10,0,1.27,18.3
27.52,45.73,1021.54,1,16,0,2.99,17.12
24.54,24.77,3991.12,5,6,0,2.49,23.64
30.76,21.81,2610.29,7,14,0,1.59,23.46
17.1,29.46,1558.14,2,6,0,2.28,13.87
41.31,87.42,2143.44,8,12,1,11.09,38.93
41.63,58.47,554.04,4,11,0,8.0,25.19
33.85,87.61,924.25,3,14,0,7.8,25.66
29.47,50.27,3538.74,8,10,1,2.02,26.8
23.36,41.83,400.05,2,15,0,0.0,9.51
36.97,55.43,2107.92,3,19,1,5.74,30.78
33.49,50.77,2542.29,3,16,1,5.37,28.81
19.39,27.4,624.0,1,11,0,0.0,8.17
39.6,64.86,4389.62,6,8,1,7.61,38.03
37.21,35.12,1327.11,2,9,0,6.35,23.0
40.64,63.37,1647.21,1,4,0,4.88,20.01
34.59,65.51,1646.16,2,16,0,5.9,26.06
31.56,30.64,1344.71,6,17,0,5.58,26.27
26.29,24.29,406.04,4,5,1,2.44,12.19
40.18,74.65,3390.31,6,7,0,9.03,35.87
38.38,52.19,4364.07,9,2,0,3.69,30.02
16.22,24.07,1319.6,8,5,0,0.0,13.11
15.71,89.64,3118.49,1,12,0,0.0,17.1
25.16,24.04,3441.77,8,13,0,0.0,22.76
